Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,product_id,unit_cost
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,1,25.62
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,2,342.61
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,3,18.59
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,2,289.8
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,1,22.34
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,1,13.4
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,2,10.44
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,3,16.5
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,3,174.1
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,2,30.62
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,2,20.31
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,1,17.27
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,3,324.87
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,2,13.91
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,3,227.27
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,2,227.51
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,2,12.28
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,3,13.94
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,2,13.24
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,2,146.21
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,1,291.78
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,2,22.09
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,2,14.63
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,2,152.97
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,1,26.84
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,3,317.78
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,1,11.5
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,1,277.14
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,3,17.33
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,1,124.18
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,3,174.68
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,1,13.53
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,3,20.98
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,2,34.23
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,1,206.91
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,1,192.76
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,1,12.28
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,1,21.47
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,2,18.16
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,1,26.6
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,2,10.92
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,2,164.57
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,2,123.09
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,2,16.82
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,3,14.33
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,3,179.63
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,1,246.76
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,3,166.81
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,3,282.01
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,1,11.39
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,1,17.27
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,1,189.76
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,3,34.09
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,3,334.22
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,1,17.38
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,2,202.97
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,1,12.8
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,2,137.64
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,2,20.68
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,1,24.88
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,1,25.83
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,1,24.07
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,3,16.22
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,2,12.68
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,3,242.14
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,3,16.88
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,1,132.68
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,3,192.2
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,1,10.56
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,2,208.82
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,1,15.79
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,3,229.81
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,3,12.05
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,1,322.32
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,1,30.6
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,3,30.94
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,2,31.57
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,2,211.11
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,1,152.26
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,2,13.04
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,3,32.95
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,1,29.35
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,3,24.96
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,3,12.57
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,2,24.66
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,1,14.93
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,1,30.94
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,2,295.63
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,3,333.08
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,3,16.25
